Time,Team,Cap,Cap Number,Player Name,Action,Action Detail,Score,teams_in_game
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Turnover,,,,USC (M) California (M)
6:52,USC (M),12,Max Miller,Goal - 6 on 5,1-0,,,USC (M) California (M)
6:54,California (M),9,Jake Howerton,Exclusion,,,,USC (M) California (M)
6:35,USC (M),12,Max Miller,Exclusion,,,,USC (M) California (M)
6:35,California (M),7,Albert Ponferrada,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Assist,,,,USC (M) California (M)
6:26,California (M),10,Max Casabella,Goal - 6 on 5,1-1,,,USC (M) California (M)
--:--,California (M),HC,Kirk Everist,Yellow Card,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Assist,,,,USC (M) California (M)
--:--,USC (M),HC,Marko Pintaric,Yellow Card,,,,USC (M) California (M)
6:13,USC (M),23,Andrej Grgurevic,Earned Penalty,,,,USC (M) California (M)
6:13,California (M),10,Max Casabella,Penalty,,,,USC (M) California (M)
6:13,USC (M),10,Massimo Di Martire,Goal - Penalty,2-1,,,USC (M) California (M)
5:51,California (M),4,Nikolaos Papanikolaou,Goal - Natural,2-2,,,USC (M) California (M)
5:11,USC (M),17,Zac Crenshaw,Exclusion,,,,USC (M) California (M)
--:--,California (M),8,Garrett Dunn,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,California (M),3,Wyatt Mundelius,Missed Shot,,,,USC (M) California (M)
4:48,California (M),3,Wyatt Mundelius,Exclusion,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Missed Shot,,,,USC (M) California (M)
--:--,California (M),14,Warren Loth,Turnover,,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Steal,,,,USC (M) California (M)
2:50,USC (M),6,Carson Kranz,Exclusion,,,,USC (M) California (M)
2:50,California (M),2,Roberto Valera,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,USC (M) California (M)
--:--,California (M),8,Garrett Dunn,Missed Shot,,,,USC (M) California (M)
1:46,California (M),14,Warren Loth,Exclusion,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Block,,,,USC (M) California (M)
1:16,USC (M),7,Tom McGuire,Exclusion,,,,USC (M) California (M)
1:16,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Assist,,,,USC (M) California (M)
1:00,California (M),4,Nikolaos Papanikolaou,Goal - 6 on 5,2-3,,,USC (M) California (M)
--:--,California (M),16,Jake Stone,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
0:02,USC (M),10,Massimo Di Martire,Goal - Natural,3-3,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Turnover,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
6:48,USC (M),12,Max Miller,Goal - Natural,4-3,,,USC (M) California (M)
6:24,USC (M),5,Luka Brnetic,Exclusion,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
5:42,California (M),,,Time Out - Full,,,,USC (M) California (M)
--:--,USC (M),HC,Marko Pintaric,Yellow/Red Card,,,,USC (M) California (M)
5:42,USC (M),10,Massimo Di Martire,Exclusion,,,,USC (M) California (M)
5:17,California (M),10,Max Casabella,Goal - 6 on 5,4-4,,,USC (M) California (M)
5:07,California (M),24,George Avakian,Exclusion,,,,USC (M) California (M)
5:07,USC (M),19,Tony Nardelli,Earned Exclusion,,,,USC (M) California (M)
--:--,USC (M),19,Tony Nardelli,Missed Shot,,,,USC (M) California (M)
--:--,California (M),2,Roberto Valera,Block,,,,USC (M) California (M)
--:--,California (M),16,Jake Stone,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
5:07,California (M),11,Jordi Gascon,Exclusion,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),8,Reed Stemler,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Turnover,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,USC (M) California (M)
--:--,California (M),15,Nik Mirkovic,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Block,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Missed Shot,,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Block,,,,USC (M) California (M)
--:--,USC (M),19,Tony Nardelli,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
2:45,California (M),15,Nik Mirkovic,Goal - Natural,4-5,,,USC (M) California (M)
--:--,USC (M),23,Andrej Grgurevic,Turnover,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,USC (M) California (M)
2:19,USC (M),5,Luka Brnetic,Exclusion,,,,USC (M) California (M)
2:19,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),12,Marton Szatmary,Turnover,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Steal,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Turnover,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Steal,,,,USC (M) California (M)
--:--,California (M),12,Marton Szatmary,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),21,Connor Cohen,Block,,,,USC (M) California (M)
0:57,California (M),8,Garrett Dunn,Exclusion,,,,USC (M) California (M)
0:39,USC (M),12,Max Miller,Goal - 6 on 5,5-5,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Assist,,,,USC (M) California (M)
0:25,USC (M),28,Zach Bettino,Exclusion,,,,USC (M) California (M)
0:25,California (M),2,Roberto Valera,Earned Exclusion,,,,USC (M) California (M)
0:25,California (M),2,Roberto Valera,Exclusion - Misconduct,,,,USC (M) California (M)
0:25,USC (M),28,Zach Bettino,Earned Exclusion,,,,USC (M) California (M)
0:24,USC (M),6,Carson Kranz,Goal - Penalty,6-5,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
7:26,USC (M),23,Andrej Grgurevic,Exclusion,,,,USC (M) California (M)
7:26,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
7:26,California (M),,,Time Out - Full,,,,USC (M) California (M)
7:06,California (M),9,Jake Howerton,Goal,6-6,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Assist,,,,USC (M) California (M)
6:52,California (M),24,George Avakian,Exclusion,,,,USC (M) California (M)
6:16,USC (M),21,Connor Cohen,Exclusion,,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Block,,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Missed Shot,,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Steal,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Turnover,,,,USC (M) California (M)
5:15,California (M),4,Nikolaos Papanikolaou,Earned Penalty,,,,USC (M) California (M)
5:15,USC (M),6,Carson Kranz,Penalty,,,,USC (M) California (M)
5:15,California (M),10,Max Casabella,Goal - Penalty,6-7,,,USC (M) California (M)
4:53,USC (M),3,Evan Ausmus,Exclusion,,,,USC (M) California (M)
4:53,California (M),11,Jordi Gascon,Earned Exclusion,,,,USC (M) California (M)
4:53,California (M),10,Max Casabella,Goal - Penalty,6-8,,,USC (M) California (M)
4:53,California (M),11,Jordi Gascon,Earned Penalty,,,,USC (M) California (M)
4:53,USC (M),12,Max Miller,Penalty,,,,USC (M) California (M)
4:41,California (M),14,Warren Loth,Exclusion,,,,USC (M) California (M)
4:41,USC (M),,,Time Out - 30 sec,,,,USC (M) California (M)
--:--,USC (M),23,Andrej Grgurevic,Missed Shot,,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),23,Andrej Grgurevic,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
3:51,California (M),9,Jake Howerton,Exclusion,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
3:04,USC (M),23,Andrej Grgurevic,Exclusion,,,,USC (M) California (M)
3:04,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Steal,,,,USC (M) California (M)
--:--,USC (M),9,Joshua Waldoch,Turnover,,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
1:10,USC (M),28,Zach Bettino,Exclusion,,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Steal,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Turnover,,,,USC (M) California (M)
0:38,USC (M),12,Max Miller,Goal - Natural,7-8,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Steal,,,,USC (M) California (M)
0:22,USC (M),10,Massimo Di Martire,Goal - Counter,8-8,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Turnover,,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),8,Reed Stemler,Block,,,,USC (M) California (M)
--:--,USC (M),,,Sprint (winner),,,,USC (M) California (M)
7:32,USC (M),12,Max Miller,Goal - Natural,9-8,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Missed Shot,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Block,,,,USC (M) California (M)
6:42,California (M),25,William Kelly,Exclusion,,,,USC (M) California (M)
6:42,USC (M),10,Massimo Di Martire,Earned Exclusion,,,,USC (M) California (M)
--:--,USC (M),10,Massimo Di Martire,Assist,,,,USC (M) California (M)
6:38,USC (M),12,Max Miller,Goal - 6 on 5,10-8,,,USC (M) California (M)
--:--,California (M),9,Jake Howerton,Assist,,,,USC (M) California (M)
6:13,California (M),7,Albert Ponferrada,Goal - Natural,10-9,,,USC (M) California (M)
--:--,USC (M),19,Tony Nardelli,Turnover,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Steal,,,,USC (M) California (M)
5:18,USC (M),8,Reed Stemler,Exclusion,,,,USC (M) California (M)
5:18,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Assist,,,,USC (M) California (M)
5:04,California (M),9,Jake Howerton,Goal - 6 on 5,10-10,,,USC (M) California (M)
--:--,USC (M),23,Andrej Grgurevic,Missed Shot,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
3:59,California (M),7,Albert Ponferrada,Exclusion,,,,USC (M) California (M)
--:--,USC (M),28,Zach Bettino,Assist,,,,USC (M) California (M)
3:42,USC (M),23,Andrej Grgurevic,Goal - 6 on 5,11-10,,,USC (M) California (M)
3:19,USC (M),5,Luka Brnetic,Exclusion,,,,USC (M) California (M)
3:19,California (M),4,Nikolaos Papanikolaou,Earned Exclusion,,,,USC (M) California (M)
--:--,California (M),16,Jake Stone,Assist,,,,USC (M) California (M)
3:06,California (M),10,Max Casabella,Goal - 6 on 5,11-11,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Missed Shot,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,USC (M) California (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,USC (M) California (M)
--:--,California (M),15,Nik Mirkovic,Assist,,,,USC (M) California (M)
2:20,California (M),7,Albert Ponferrada,Goal - Natural,11-12,,,USC (M) California (M)
2:20,USC (M),,,Time Out - Full,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Assist,,,,USC (M) California (M)
2:03,USC (M),12,Max Miller,Goal - Natural,12-12,,,USC (M) California (M)
1:38,California (M),7,Albert Ponferrada,Exclusion,,,,USC (M) California (M)
1:38,USC (M),10,Massimo Di Martire,Earned Exclusion,,,,USC (M) California (M)
1:38,USC (M),,,Time Out - Full,,,,USC (M) California (M)
--:--,USC (M),6,Carson Kranz,Assist,,,,USC (M) California (M)
1:20,USC (M),10,Massimo Di Martire,Goal - 6 on 5,13-12,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Turnover,,,,USC (M) California (M)
--:--,USC (M),7,Tom McGuire,Steal,,,,USC (M) California (M)
--:--,California (M),4,Nikolaos Papanikolaou,Steal,,,,USC (M) California (M)
--:--,USC (M),12,Max Miller,Turnover,,,,USC (M) California (M)
0:35,California (M),,,Time Out - Full,,,,USC (M) California (M)
--:--,California (M),10,Max Casabella,Turnover,,,,USC (M) California (M)
--:--,USC (M),1B,Bernardo Herzer,Steal,,,,USC (M) California (M)
0:17,USC (M),,,Time Out - Full,,,,USC (M) California (M)
0:15,California (M),,,Time Out - 30 sec,,,,USC (M) California (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,USC (M) California (M)
--:--,Pepperdine (M),23,Adam Csapo,Goal,0-1,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Goal,0-2,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Goal - 6 on 5,0-3,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Goal,1-3,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Goal,1-4,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Goal,2-4,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Goal,3-4,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),11,Felipe Ferreira,Goal,4-4,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),5,Anthony D'Ambra,Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),2,Clay Kaneko,Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),23,Adam Csapo,Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),22,Luca Rago,Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),22,Luca Rago,Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),25,Mason Presley,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),13,Brendon Fezzey,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),12,Bennett Axline,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),11,Felipe Ferreira,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),21,Sandor Gal,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),12,Milo Joseph,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),10,Chase Wilson,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),8,Matty Walsh,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),5,Anthony D'Ambra,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),5,Anthony D'Ambra,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),4,Nico Tierney,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),4,Nico Tierney,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),4,Nico Tierney,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),3,Ryan Brosnan,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Steal,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),,,Sprint (winner),,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),24,Kaden Likins,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),8,Matty Walsh,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),8,Matty Walsh,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),5,Anthony D'Ambra,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),5,Anthony D'Ambra,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),3,Ryan Brosnan,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),3,Ryan Brosnan,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),3,Ryan Brosnan,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),3,Ryan Brosnan,Missed Shot,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),24,Kaden Likins,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),18,Landon Akerstrom,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),12,Bennett Axline,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),11,Felipe Ferreira,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),8,Matty Walsh,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),10,Chase Wilson,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),10,Chase Wilson,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),16,Jonathan Carcarey,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),6,Kaden Kaneko,Earned Exclusion,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),1,Antonio Knez,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),11,Felipe Ferreira,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),12,Milo Joseph,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),8,Matty Walsh,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),7,Christian Hosea,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1A,Nikita Valajev,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),1,Logan Estes,Block,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),24,Kaden Likins,Assist,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),15,Rhys Bugelli,Assist,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Assist,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),7,Lucas Romaguera,Assist,,,,Pepperdine (M) UC San Diego (M)
--:--,UC San Diego (M),4,Ante Buzov,Assist,,,,Pepperdine (M) UC San Diego (M)
--:--,Pepperdine (M),22,Curtis Jarvis,Assist,,,,Pepperdine (M) UC San Diego (M)
